#QTL	Publication	TO	type	CO	Location
QPSII1.11	Ortiz et al 2017				1:65671425-66195523
QPSII1.12	Ortiz et al 2017				1:71677869-71922247
QPSII1.13	Ortiz et al 2017				1:72269221-73253319
QPSII1.14	Ortiz et al 2017				1:72269963-73260526
QPSII1.15	Ortiz et al 2017				1:72297572-73324655
QPSII1.16	Ortiz et al 2017				1:72472175-73488465
QPSII1.17	Ortiz et al 2017				1:72559314-73570217
QPSII1.18	Ortiz et al 2017				1:72573494-73583520
QPSII1.19	Ortiz et al 2017				1:72591371-73600293
QPSII1.20	Ortiz et al 2017				1:72623677-73630602
QPSII1.21	Ortiz et al 2017				1:72626711-73633448
QPSII1.22	Ortiz et al 2017				1:72653707-73658776
QPSII1.23	Ortiz et al 2017				1:72715223-73715052
QPSII1.24	Ortiz et al 2017				1:72729563-73727985
QPSII1.25	Ortiz et al 2017				1:73867727-73913013
QPSII1.26	Ortiz et al 2017				1:73941170-74022831
QPSII1.27	Ortiz et al 2017				1:73941187-74022848
QPSII1.28	Ortiz et al 2017				1:74053799-74135460
QPSII1.29	Ortiz et al 2017				1:74060253-74141914
QPSII1.30	Ortiz et al 2017				1:74076438-74158099
QPSII1.31	Ortiz et al 2017				1:74137127-74218788
QPSII1.32	Ortiz et al 2017				1:74507372-74589033
QPSII1.33	Ortiz et al 2017				1:74509633-74591293
QPSII1.34	Ortiz et al 2017				1:74509634-74591294
QPSII1.35	Ortiz et al 2017				1:74509635-74591295
QPSII1.36	Ortiz et al 2017				1:75418886-75505311
QPSII1.37	Ortiz et al 2017				1:78147010-78396425
QPSII1.38	Ortiz et al 2017				1:78424958-78464385
QPSII1.39	Ortiz et al 2017				1:79411932-79624084
QPSII2.2	Ortiz et al 2017				2:71242987-71507027
QPSII2.3	Ortiz et al 2017				2:71290992-71837028
QPSII4.2	Ortiz et al 2017				4:63327735-65072982
QPSII5.1	Ortiz et al 2017				5:2687608-2782047
QPSII5.2	Ortiz et al 2017				5:13428171-51900143
QPSII5.3	Ortiz et al 2017				5:13437204-51908767
QPSII5.4	Ortiz et al 2017				5:13437868-51909402
QPSII6.2	Ortiz et al 2017				6:56905485-57295758
QPSII8.1	Ortiz et al 2017				8:207748-291792
QPSII8.2	Ortiz et al 2017				8:347373-431416
QPSII8.3	Ortiz et al 2017				8:711745-795788
QPSII8.4	Ortiz et al 2017				8:880893-947746
QPSII8.5	Ortiz et al 2017				8:881509-948362
QPSII8.6	Ortiz et al 2017				8:890605-957458
QPSII8.7	Ortiz et al 2017				8:890605-957458
QPSII8.8	Ortiz et al 2017				8:932827-999680
QPSII8.9	Ortiz et al 2017				8:969048-1035901
QPSII8.10	Ortiz et al 2017				8:970711-1037564
QPSII8.11	Ortiz et al 2017				8:970751-1037604
QPSII8.12	Ortiz et al 2017				8:1023339-1090192
QPSII8.13	Ortiz et al 2017				8:1037969-1104822
QPSII8.14	Ortiz et al 2017				8:1174456-1241309
QPSII8.15	Ortiz et al 2017				8:1847957-1934613
QPSII8.16	Ortiz et al 2017				8:1847993-1934649
QPSII8.17	Ortiz et al 2017				8:2126266-2212922
QPSII8.18	Ortiz et al 2017				8:3022571-3088380
QPSII8.19	Ortiz et al 2017				8:57113589-57290831
QPSII8.20	Ortiz et al 2017				8:57582560-58291122
QPSII8.21	Ortiz et al 2017				8:59695442-59830701
QPSII8.22	Ortiz et al 2017				8:59697663-59832922
QPSII8.23	Ortiz et al 2017				8:62290257-62308777
QPSII10.1	Ortiz et al 2017				10:1602513-1627500
QPSII10.2	Ortiz et al 2017				10:3373306-3563673
QPSII10.3	Ortiz et al 2017				10:3373551-3563917
QPSII10.4	Ortiz et al 2017				10:3376128-3566494
QPSII10.5	Ortiz et al 2017				10:3440028-4584757
QPSII10.6	Ortiz et al 2017				10:3440030-4584803
QPSII10.7	Ortiz et al 2017				10:3584174-5701459
QEMGR1.1	Burow et al 2011				1:0-7087418
QEMGR1.2	Fiedler et al 2012				1:4152458-4793959
QEMGR1.23	Parra-Londono et al 2018				1:5078514-6505424
QEMGR1.3	Fiedler et al 2012				1:8927586-9873328
QEMGR1.4	Fiedler et al 2012				1:13332874-14428903
QEMGR1.5	Fiedler et al 2012				1:13332874-14428903
QEMGR1.6	Bekele et al 2014				1:17322665-24297329
QEMGR1.7	Knoll et al 2008				1:19912492-52449413
QEMGR1.8	Fiedler et al 2012				1:55359817-57251504
QEMGR1.9	Fiedler et al 2012				1:57296305-57717437
QEMGR1.10	Knoll et al 2008				1:57680027-58844843
QEMGR1.20	Maulana et al 2017				1:57775191-58545551
QEMGR1.21	Maulana et al 2017				1:57775191-58545551
QEMGR1.11	Burow et al 2011				1:65088400-70487743
QEMGR1.12	Fiedler et al 2012				1:71074743-71267549
QEMGR1.19	Maulana et al 2017				1:75610712-75888912
QEMGR1.22	Maulana et al 2017				1:75610712-75888912
QEMGR1.13	Bekele et al 2014				1:78932409-80878678
QEMGR2.1	Fiedler et al 2012				2:4825851-5735436
QEMGR2.3	Knoll et al 2008				2:6045208-6072005
QEMGR2.2	Knoll et al 2008				2:6047154-6060285
QEMGR2.4	Fiedler et al 2012				2:12771761-13273195
QEMGR2.5	Bekele et al 2014				2:14190172-59983722
QEMGR2.6	Fiedler et al 2012				2:64876159-65116538
QEMGR2.7	Fiedler et al 2012				2:65028187-65381593
QEMGR2.8	Fiedler et al 2012				2:65028187-65381593
QEMGR2.12	Parra-Londono et al 2018				2:66467661-67597180
QEMGR2.11	Maulana et al 2017				2:69834412-70185881
QEMGR3.1	Fiedler et al 2012				3:825391-1886609
QEMGR3.2	Fiedler et al 2012				3:825391-1886609
QEMGR3.3	Fiedler et al 2012				3:1887351-1902200
QEMGR3.4	Bekele et al 2014				3:11040869-55783469
QEMGR3.12	Parra-Londono et al 2018				3:15919430-16380118
QEMGR3.5	Bekele et al 2014				3:60639257-71540370
QEMGR3.11	Maulana et al 2017				3:69607950-69811243
QEMGR4.2	Bekele et al 2014				4:11887192-51647808
QEMGR4.1	Fiedler et al 2012				4:13599133-40221654
QEMGR4.3	Fiedler et al 2012				4:55120839-55831673
QEMGR5.1	Fiedler et al 2012				5:13325153-51801797
QEMGR6.5	Parra-Londono et al 2018				6:41548420-42183915
QEMGR6.1	Fiedler et al 2012				6:44963076-44986245
QEMGR6.2	Bekele et al 2014				6:49046778-50945228
QEMGR6.4	Bekele et al 2014				6:49210480-51435581
QEMGR6.6	Parra-Londono et al 2018				6:49607499-49818442
QEMGR6.3	Bekele et al 2014				6:50897396-50942679
QEMGR7.1	Fiedler et al 2012				7:2373496-2457779
QEMGR7.2	Fiedler et al 2012				7:2373496-2457779
QEMGR7.3	Burow et al 2011				7:7027189-57727727
QEMGR8.2	Bekele et al 2014				8:7521754-53926661
QEMGR8.1	Fiedler et al 2012				8:8060328-8182412
QEMGR8.3	Fiedler et al 2012				8:55243125-55596065
QEMGR8.4	Fiedler et al 2012				8:55440261-55767722
QEMGR8.5	Fiedler et al 2012				8:57579092-58285925
QEMGR8.6	Fiedler et al 2012				8:57579092-58285925
QEMGR8.7	Fiedler et al 2012				8:62306925-62671469
QEMGR9.8	Parra-Londono et al 2018				9:1404871-1441290
QEMGR9.9	Parra-Londono et al 2018				9:1411700-1448119
QEMGR9.2	Burow et al 2011				9:2874169-44961137
QEMGR9.1	Fiedler et al 2012				9:3358112-3677034
QEMGR9.3	Burow et al 2011				9:48546931-49695864
QEMGR9.4	Burow et al 2011				9:52854041-57277544
QEMGR9.5	Burow et al 2011				9:53829408-56630347
QEMGR9.6	Fiedler et al 2012				9:56104114-56610219
QEMGR10.1	Fiedler et al 2012				10:1573388-1598374
QEMGR10.2	Fiedler et al 2012				10:10520111-13359690
QEMGR1.14	Fiedler et al 2012				1:5136752-6613450
QEMGR1.15	Bekele et al 2014				1:16447956-24217335
QEMGR1.16	Fiedler et al 2012				1:50213605-51743889
QEMGR1.17	Fiedler et al 2012				1:60953424-60964157
QEMGR1.18	Fiedler et al 2012				1:66822992-66908741
QEMGR2.9	Bekele et al 2014				2:60406712-61606391
QEMGR2.10	Fiedler et al 2012				2:65028187-65381593
QEMGR3.6	Fiedler et al 2012				3:6152683-6954960
QEMGR3.7	Bekele et al 2014				3:53870126-55677026
QEMGR3.8	Bekele et al 2014				3:58726378-60681004
QEMGR3.10	Bekele et al 2014				3:62348553-70244372
QEMGR3.9	Bekele et al 2014				3:63508538-67097271
QEMGR5.2	Fiedler et al 2012				5:754333-801000
QEMGR9.7	Fiedler et al 2012				9:17133-396010
QESTR10.1	Mace and Jordan 2010				10:1655644-1680631
QLWAX1.1	Uttam et al 2017				1:51527171-51746422
QLWAX1.2	Uttam et al 2017				1:51527171-51746422
QERGR1.3	Parh et al 2008				1:16025271-24030284
QERGR2.1	Parh et al 2008				2:3078042-6050306
QERGR2.2	Parh et al 2008				2:61598840-63505957
QERGR6.2	Parh et al 2008				6:47198013-49068364
QERGR7.3	Parh et al 2008				7:62344998-65460255
QERGR8.2	Parh et al 2008				8:1025964-1685235
QERGR8.3	Parh et al 2008				8:5070472-56835814
QERGR9.1	Parh et al 2008				9:2668421-2947261
QERGR10.2	Parh et al 2008				10:8428808-50274901
QERGR1.1	Parh et al 2008				1:14603669-24715726
QERGR4.1	Parh et al 2008				4:13658827-53168631
QERGR6.1	Parh et al 2008				6:51735401-52275252
QERGR7.1	Parh et al 2008				7:3845916-8183374
QERGR10.1	Parh et al 2008				10:10658441-53007329
QERGR1.2	Parh et al 2008				1:54845402-59372717
QERGR7.2	Parh et al 2008				7:57782565-58571419
QERGR8.1	Parh et al 2008				8:298840-1189801
QFRTR2.2	Mace and Jordan 2010				2:4747273-5933854
QFRTR2.1	Jordan et al 2010				2:5706342-5908001
QFRTR4.4	Praveen et al 2015				4:655807-745934
QFRTR4.5	Praveen et al 2015				4:655807-745934
QFRTR4.2	Jordan et al 2011				4:7391530-33330899
QFRTR4.1	Jordan et al 2011				4:7771059-13451696
QFRTR4.3	Jordan et al 2011				4:8433990-12711578
QFRTR4.6	Sakhi et al 2013				4:62600504-62683090
QFRTR4.7	Sakhi et al 2013				4:62600504-62683090
QFRTR5.4	Jordan et al 2011				5:1667165-1987773
QFRTR5.6	Jordan et al 2011				5:1675439-1985785
QFRTR5.5	Jordan et al 2011				5:1686403-1983150
QFRTR5.3	Jordan et al 2011				5:1988381-2776866
QFRTR5.2	Jordan et al 2011				5:1990057-2772280
QFRTR5.1	Jordan et al 2011				5:1997548-2751782
QFRTR8.1	Mace and Jordan 2010				8:57582618-58291209
QFLLN1.1	Sakhi et al 2013				1:59797727-60205562
QFLLN1.2	Sakhi et al 2013				1:59797727-60205562
QFLLN10.1	Zou et al 2012				10:1673218-7126167
QFLWD1.1	Zou et al 2012				1:2246707-10368475
QFLWD1.2	Zou et al 2012				1:7436270-12925588
QFLWD2.1	Zou et al 2012				2:64247301-67706722
QFLWD4.1	Zou et al 2012				4:1337996-3765414
QFLWD6.1	Zou et al 2012				6:38315036-43974633
QFLWD6.2	Zou et al 2012				6:57319857-59981906
QFRAG7.2	Yundaeng et al 2013				7:6859806-57791843
QFRAG7.3	Yundaeng et al 2013				7:9614492-55690452
QFRAG7.1	Yundaeng et al 2013				7:9731018-54840768
QFBMS1.1	Guan et al 2011			CO_324:0000199	1:12493718-15732609
QFBMS1.2	Guan et al 2011			CO_324:0000199	1:54115571-58598506
QFBMS1.3	Guan et al 2011			CO_324:0000199	1:55253019-58580263
QFBMS1.4	Kapanigowda et al 2014			CO_324:0000199	1:60523470-60983338
QFBMS1.12	Wang et al 2016			CO_324:0000199	1:61469292-65436775
QFBMS1.8	Wang et al 2016			CO_324:0000199	1:61543488-65404206
QFBMS1.17	Gelli et al 2016			CO_324:0000199	1:62281412-65017859
QFBMS1.9	Wang et al 2016			CO_324:0000199	1:62291302-65202048
QFBMS1.11	Wang et al 2016			CO_324:0000199	1:62317734-65105047
QFBMS1.13	Wang et al 2016			CO_324:0000199	1:63032394-65000734
QFBMS1.10	Wang et al 2016			CO_324:0000199	1:63329572-64864952
QFBMS1.7	Wang et al 2016			CO_324:0000199	1:63422373-64820271
QFBMS1.5	Shiringani & Friedt 2011			CO_324:0000199	1:67913115-70372439
QFBMS1.6	Guan et al 2011			CO_324:0000199	1:71558611-74007396
QFBMS1.14	Wang et al 2016			CO_324:0000199	1:78949693-80878678
QFBMS1.15	Wang et al 2016			CO_324:0000199	1:79016086-80878678
QFBMS1.16	Wang et al 2016			CO_324:0000199	1:79645823-80878678
QFBMS2.1	Kapanigowda et al 2014			CO_324:0000199	2:1917632-4078917
QFBMS2.2	Shiringani & Friedt 2011			CO_324:0000199	2:6052918-6127702
QFBMS2.3	Shiringani & Friedt 2011			CO_324:0000199	2:11972818-14096689
QFBMS3.1	Felderhoff et al 2012			CO_324:0000199	3:16646088-55290254
QFBMS3.4	Shiringani & Friedt 2011			CO_324:0000199	3:54515782-55684474
QFBMS3.2	Felderhoff et al 2012			CO_324:0000199	3:55842108-58228057
QFBMS3.3	Felderhoff et al 2012			CO_324:0000199	3:55964388-58288440
QFBMS3.5	Hufnagel et al 2014			CO_324:0000199	3:59593590-60274822
QFBMS4.1	Felderhoff et al 2012				4:4365090-6727385
QFBMS4.2	Guan et al 2011				4:12010724-50362825
QFBMS4.3	Shiringani & Friedt 2011				4:12948107-50156657
QFBMS5.1	Gelli et al 2016			CO_324:0000199	5:11160825-62823005
QFBMS6.6	Wang et al 2016			CO_324:0000199	6:1864512-4386643
QFBMS6.1	Wang et al 2014b			CO_324:0000199	6:47686626-50991177
QFBMS6.2	Shiringani & Friedt 2011			CO_324:0000199	6:52744974-53427904
QFBMS6.3	Shiringani & Friedt 2011			CO_324:0000199	6:56623218-57444327
QFBMS6.9	Wang et al 2016			CO_324:0000199	6:57440816-61260478
QFBMS6.7	Wang et al 2016			CO_324:0000199	6:57733877-61260478
QFBMS6.10	Wang et al 2016			CO_324:0000199	6:57855691-61260478
QFBMS6.11	Wang et al 2016			CO_324:0000199	6:58009685-61260478
QFBMS6.12	Wang et al 2016			CO_324:0000199	6:58197774-61260478
QFBMS6.8	Wang et al 2016			CO_324:0000199	6:58345378-61260478
QFBMS6.13	Wang et al 2016			CO_324:0000199	6:58373173-61260478
QFBMS6.5	Shiringani & Friedt 2011			CO_324:0000199	6:59888756-61260478
QFBMS6.4	Shiringani & Friedt 2011			CO_324:0000199	6:60034231-61260478
QFBMS7.1	Felderhoff et al 2012			CO_324:0000199	7:7059898-55709709
QFBMS7.2	Felderhoff et al 2012			CO_324:0000199	7:7707245-57707857
QFBMS7.7	Gelli et al 2016			CO_324:0000199	7:58213554-59416045
QFBMS7.3	Murray et al 2008b			CO_324:0000199	7:58837041-59531162
QFBMS7.6	Wang et al 2016			CO_324:0000199	7:58840637-59547803
QFBMS7.4	Guan et al 2011			CO_324:0000199	7:59274740-59551163
QFBMS7.5	Murray et al 2008b			CO_324:0000199	7:59533087-61198044
QCRGR7.1	Spagnolli et al 2016			CO_324:0000199	7:61247608-61799443
QCRGR7.2	Spagnolli et al 2016			CO_324:0000199	7:61253479-61793572
QFBMS8.1	Guan et al 2011			CO_324:0000199	8:57157643-59387047
QFBMS9.3	Wang et al 2014b			CO_324:0000199	9:8157517-47929505
QFBMS9.13	Gelli et al 2016			CO_324:0000199	9:50673105-51682151
QCRGR9.1	Spagnolli et al 2016			CO_324:0000199	9:54140355-57276891
QCRGR9.2	Spagnolli et al 2016			CO_324:0000199	9:54160232-57275558
QFBMS9.1	Felderhoff et al 2012			CO_324:0000199	9:57302895-59398238
QFBMS9.2	Felderhoff et al 2012			CO_324:0000199	9:57918770-59398238
QFBMS9.4	Guan et al 2011			CO_324:0000199	9:57940088-57974144
QFBMS9.12	Wang et al 2016			CO_324:0000199	9:57976831-59398238
QFBMS9.8	Wang et al 2016			CO_324:0000199	9:57977028-59398238
QFBMS9.7	Wang et al 2016			CO_324:0000199	9:57978168-59398238
QFBMS9.9	Wang et al 2016			CO_324:0000199	9:57985776-59398238
QFBMS9.5	Wang et al 2016			CO_324:0000199	9:57987795-59193342
QFBMS9.11	Wang et al 2016			CO_324:0000199	9:57990650-59192873
QFBMS9.10	Wang et al 2016			CO_324:0000199	9:57991368-59192755
QFBMS9.6	Wang et al 2016			CO_324:0000199	9:58002092-58827205
QFLWT1.1	Murray et al 2008b				1:11129975-14998555
QFLWT2.1	Shiringani & Friedt 2011				2:4132217-6047331
QFLWT3.1	Shiringani & Friedt 2011				3:53683075-55588137
QFLWT3.2	Murray et al 2008b				3:54835276-55884155
QFLWT4.1	Kapanigowda et al 2014				4:44912938-52961048
QFLWT4.3	Mocoeur et al 2015				4:55998465-61675926
QFLWT4.2	Shiringani & Friedt 2011				4:62226452-63339812
QFLWT6.2	Kapanigowda et al 2014				6:50945426-53701348
QFLWT6.1	Kapanigowda et al 2014				6:51324599-53491505
QFLWT6.3	Mocoeur et al 2015				6:52850632-55224560
QFLWT9.1	Kapanigowda et al 2014				9:47753292-49519282
QFSWT1.2	Mocoeur et al 2015				1:0-7354051
QFSWT1.1	Mocoeur et al 2015				1:74398097-77174548
QFSWT4.1	Mocoeur et al 2015				4:52031817-57017702
QFSWT6.3	Mocoeur et al 2015				6:51685010-52352025
QFSWT6.1	Kapanigowda et al 2014				6:51762192-52792436
QFSWT6.2	Kapanigowda et al 2014				6:52773951-53741959
QSDWT7.3	Bekele et al 2014				7:6627117-45052850
QFSWT8.1	Lv et al 2013				8:162353-204375
QFSWT9.1	Mocoeur et al 2015				9:57303047-59398238
QFSWT10.1	Lv et al 2013				10:8429316-8555010
QFSWT10.2	Lv et al 2013				10:60429375-60429469
QFSWT10.3	Lv et al 2013				10:60429375-60429469
QGERM1.1	Bekele et al 2014				1:17403481-24270243
QGERM1.7	Cantoro et al 2016				1:58866446-65240216
QGERM2.1	Burow et al 2011				2:47638052-54989849
QGERM3.1	Knoll et al 2008				3:62729418-66248144
QGERM3.4	Cantoro et al 2016				3:66409515-73737191
QGERM4.6	Cantoro et al 2016				4:53365002-61949147
QGERM6.3	Cantoro et al 2016				6:57379396-61260478
QGERM7.7	Wang et al 2014b				7:1719013-2379615
QGERM7.1	Knoll et al 2008				7:8701688-55646244
QGERM7.9	Cantoro et al 2016				7:9845884-59543249
QGERM7.10	Upadhyaya et al 2015				7:57952811-58061356
QGERM7.8	Wang et al 2014b				7:59551085-61841640
QGERM9.1	Burow et al 2011				9:44326087-52658835
QGERM9.2	Cantoro et al 2016				9:57330921-59053219
QGERM1.2	Burow et al 2011				1:0-6753962
QGERM1.4	Burow et al 2011				1:19539955-52254254
QGERM1.3	Bekele et al 2014				1:21931705-24062325
QGERM1.5	Wang et al 2014b				1:58829144-60913120
QGERM1.6	Rami et al 1998				1:71921460-74123580
QGERM2.2	Wang et al 2014b				2:1212467-2166784
QGERM2.3	Burow et al 2011				2:20339532-55533354
QGERM2.6	Bekele et al 2014				2:62240049-65115040
QGERM2.5	Wang et al 2014b				2:68765895-71599203
QGERM2.4	Wang et al 2014b				2:68859229-71254080
QGERM3.2	Knoll et al 2008				3:62883278-66122376
QGERM3.3	Wang et al 2014b				3:68368578-71881441
QGERM4.1	Bekele et al 2014				4:7616601-53399185
QGERM4.5	Guo et al 2015				4:9175095-65076725
QGERM4.4	Guo et al 2015				4:48942408-62157810
QGERM4.3	Guo et al 2015				4:49312380-56922161
QGERM4.2	Guo et al 2015				4:49789308-56251166
QGERM6.1	Bekele et al 2014				6:54991640-58057395
QGERM7.2	Wang et al 2014b				7:1276274-1964816
QGERM7.5	Guo et al 2015				7:3991796-55057565
QGERM7.3	Bekele et al 2014				7:4082285-9060357
QGERM7.4	Rami et al 1998				7:9510585-54481809
QGERM7.6	Guo et al 2015				7:61856867-65000000
QGERM10.1	Rami et al 1998				10:6099965-8591158
QGRMV1.1	Wang et al 2014b				1:61571316-65450122
QGRMV1.2	Wang et al 2014b				1:70489782-74204126
QGRMV4.1	Wang et al 2014b				4:2916181-6428209
QGLUC1.1	Shiringani et al 2010				1:77174548-78460692
QGLUC1.2	Wang et al 2013a				1:80098027-80878678
QGLUC2.1	Murray et al 2008a				2:1876643-3794460
QGLUC2.2	Shiringani et al 2010				2:65214228-68074293
QGLUC2.3	Wang et al 2011				2:65325908-65679315
QGLUC2.4	Wang et al 2011				2:65325908-65679315
QGLUC3.1	Shiringani et al 2010				3:6148200-9699393
QGLUC3.2	Shiringani et al 2010				3:53781638-55876081
QGLUC3.3	Wang et al 2013a				3:61602980-62348640
QGLUC4.1	Wang et al 2013a				4:4338063-4392432
QGLUC4.2	Wang et al 2011				4:65075110-65076812
QGLUC4.3	Wang et al 2011				4:65075110-65076812
QGLUC5.1	Murray et al 2008a				5:7155180-10888182
QGLUC6.1	Shiringani et al 2010				6:59776490-61260478
QGLUC7.1	Shiringani et al 2010				7:3397387-4510530
QGLUC7.2	Shiringani et al 2010				7:7009315-9283247
QGLUC7.3	Shiringani et al 2010				7:61699152-63566057
QGLUC8.1	Wang et al 2013a				8:8326193-53291948
QGLUC9.1	Shiringani et al 2010				9:2981539-5232352
QGLUC9.3	Wang et al 2013a				9:6862593-7046169
QGLUC9.4	Wang et al 2013a				9:52660867-52796427
QGLUC9.2	Shiringani et al 2010				9:58011033-59398238
QGLUC10.1	Wang et al 2013a				10:1652997-1677984
QGLMC2.1	Feltus et al 2006			CO_324:0000091	2:6049035-6059956
QGLMC2.2	Feltus et al 2006			CO_324:0000091	2:12777138-48896524
QGLMC3.1	Feltus et al 2006			CO_324:0000091	3:1919777-5107017
QGLMC6.2	Mace and Jordan 2010			CO_324:0000091	6:46902913-47238098
QGLMC6.1	Feltus et al 2006			CO_324:0000091	6:47200366-50865241
QGLMP1.1	Feltus et al 2006				1:4094111-7168490
QGLMP7.1	Murray et al 2008a				7:61262427-61761371
QGLMP7.2	Feltus et al 2006				7:61841069-63164153
QGADF4.1	Murray et al 2008a				4:61564831-61917932
QGCOL1.35	Salas Fernandez et al 2008				1:12188487-15125279
QGCOL1.1	Rhodes et al 2014				1:17737344-19263791
QGCOL1.2	Rhodes et al 2014				1:17787998-19361813
QGCOL1.3	Rhodes et al 2014				1:17787999-19361815
QGCOL1.4	Rhodes et al 2014				1:21309217-22433298
QGCOL1.5	Rhodes et al 2014				1:24642209-34904227
QGCOL1.6	Rhodes et al 2014				1:24642209-34904227
QGCOL1.7	Rhodes et al 2014				1:24643072-35206137
QGCOL1.8	Rhodes et al 2014				1:24643072-35206137
QGCOL1.9	Rhodes et al 2014				1:24644015-35535938
QGCOL1.10	Rhodes et al 2014				1:24651098-38013863
QGCOL1.11	Rhodes et al 2014				1:24651113-38019400
QGCOL1.12	Rhodes et al 2014				1:24658025-40437549
QGCOL1.13	Rhodes et al 2014				1:24658025-40437549
QGCOL1.14	Rhodes et al 2014				1:24658025-40437549
QGCOL1.15	Rhodes et al 2014				1:24659542-40968061
QGCOL1.16	Rhodes et al 2014				1:24659706-41025420
QGCOL1.17	Rhodes et al 2014				1:24661270-41572745
QGCOL1.18	Rhodes et al 2014				1:24663386-42313212
QGCOL1.19	Rhodes et al 2014				1:24664698-42771967
QGCOL1.20	Rhodes et al 2014				1:24664952-42861045
QGCOL1.21	Rhodes et al 2014				1:24665364-43005014
QGCOL1.22	Rhodes et al 2014				1:50104470-51694273
QGCOL1.23	Rhodes et al 2014				1:50104470-51694273
QGCOL1.24	Rhodes et al 2014				1:50211309-51742845
QGCOL1.25	Rhodes et al 2014				1:50211309-51742845
QGCOL1.26	Rhodes et al 2014				1:50211314-51742847
QGCOL1.27	Rhodes et al 2014				1:50211314-51742847
QGCOL1.36	Salas Fernandez et al 2008				1:54576259-58993872
QGCOL1.31	Zhang et al 2015				1:64035831-75462485
QGCOL1.32	Zhang et al 2015				1:64035831-75462485
QGCOL1.33	Zhang et al 2015				1:64035831-75462485
QGCOL1.30	Zhang et al 2015				1:65460458-73255683
QGCOL1.34	Zhang et al 2015				1:65460458-73255683
QGCOL1.39	Mace and Jordan 2010				1:67939567-68014675
QGCOL1.28	Rhodes et al 2014				1:71695198-71939577
QGCOL1.29	Rhodes et al 2014				1:71695332-71939710
QGCOL1.38	Boyles et al 2017				1:75329991-75564881
QGCOL1.37	Salas Fernandez et al 2008				1:78396425-80878678
QGCOL2.1	Rhodes et al 2014				2:14206737-15803191
QGCOL2.10	Salas Fernandez et al 2008				2:14210754-55439676
QGCOL2.2	Rhodes et al 2014				2:59235195-59397279
QGCOL2.9	Salas Fernandez et al 2008				2:60203693-60525931
QGCOL2.3	Rhodes et al 2014				2:65321699-65675105
QGCOL2.4	Rhodes et al 2014				2:65622013-65935238
QGCOL2.5	Rhodes et al 2014				2:69134051-69705049
QGCOL2.6	Rhodes et al 2014				2:69834838-70194396
QGCOL2.7	Rhodes et al 2014				2:69834838-70194396
QGCOL2.8	Rhodes et al 2014				2:70372516-70579464
QGCOL3.1	Rhodes et al 2014				3:48243623-50184949
QGCOL3.11	Boyles et al 2017				3:55867464-57470634
QGCOL3.10	Salas Fernandez et al 2008				3:55912409-58300714
QGCOL3.12	Mace and Jordan 2010				3:57040208-57259485
QGCOL3.2	Rhodes et al 2014				3:62715151-62938183
QGCOL3.3	Rhodes et al 2014				3:63504574-63611297
QGCOL3.4	Rhodes et al 2014				3:63504593-63611316
QGCOL3.5	Rhodes et al 2014				3:63504881-63611605
QGCOL3.6	Rhodes et al 2014				3:63504905-63611629
QGCOL3.7	Rhodes et al 2014				3:63504913-63611636
QGCOL3.8	Rhodes et al 2014				3:66575014-67098859
QGCOL3.9	Rhodes et al 2014				3:72295978-72312289
QGCOL4.1	Rhodes et al 2014				4:53828095-55254063
QGCOL4.3	Rhodes et al 2014				4:54275146-55540757
QGCOL4.4	Rhodes et al 2014				4:54511461-55783375
QGCOL4.5	Rhodes et al 2014				4:54511461-55783375
QGCOL4.6	Rhodes et al 2014				4:54581576-55787241
QGCOL4.7	Rhodes et al 2014				4:54581576-55787241
QGCOL4.8	Rhodes et al 2014				4:55830802-55842297
QGCOL4.9	Rhodes et al 2014				4:55830802-55842297
QGCOL4.10	Rhodes et al 2014				4:55830804-55842299
QGCOL4.11	Rhodes et al 2014				4:55830804-55842299
QGCOL4.12	Rhodes et al 2014				4:56155490-56194464
QGCOL4.13	Rhodes et al 2014				4:56155955-56194929
QGCOL4.14	Rhodes et al 2014				4:56161709-56200683
QGCOL4.15	Rhodes et al 2014				4:56161717-56200691
QGCOL4.16	Rhodes et al 2014				4:56161720-56200694
QGCOL4.17	Rhodes et al 2014				4:56161722-56200696
QGCOL4.18	Rhodes et al 2014				4:56161722-56200696
QGCOL4.19	Rhodes et al 2014				4:56163867-56202841
QGCOL4.20	Rhodes et al 2014				4:56181851-56220825
QGCOL4.21	Rhodes et al 2014				4:56181851-56220825
QGCOL4.22	Rhodes et al 2014				4:56181851-56220825
QGCOL4.23	Rhodes et al 2014				4:56181851-56220825
QGCOL4.24	Rhodes et al 2014				4:56184394-56223368
QGCOL4.25	Rhodes et al 2014				4:56184394-56223368
QGCOL4.26	Rhodes et al 2014				4:56187310-56226284
QGCOL4.27	Rhodes et al 2014				4:56187388-56226362
QGCOL4.28	Rhodes et al 2014				4:56187730-56226704
QGCOL4.29	Rhodes et al 2014				4:56187730-56226704
QGCOL4.33	Zhang et al 2015				4:58288761-63164352
QGCOL4.34	Zhang et al 2015				4:58288761-63164352
QGCOL4.35	Zhang et al 2015				4:58288761-63164352
QGCOL4.2	Bekele et al 2014				4:61590740-65085012
QGCOL4.30	Rhodes et al 2014				4:65082448-65084149
QGCOL4.31	Rhodes et al 2014				4:65083254-65084956
QGCOL4.32	Rhodes et al 2014				4:65964228-66112315
QGCOL5.2	Salas Fernandez et al 2008				5:64137643-64941482
QGCOL5.1	Rhodes et al 2014				5:67673989-67820184
